branch	commit	date	author	parent_count	is_merge	topic	subject	first_parent	changed_files	additions	deletions	binary_files	top_subsystems	top_components	feature_cluster	classification_source	recommended_disposition	decision_rationale
niffler	6a5324d8ec51b898641b5fff5181cecb584b9cec	2026-06-01T05:58:21+08:00	ryfineZ	1	no	delivery_operations	fix(ci): 补齐工作区构建检查	f55530f446ca0d7cb17e87c5c3a1c4d9a60f969e	29	103	23	0	data_storage:24,backend_shared:2,usage_observability:1,provider_protocol:1,billing_wallet:1	crates/aether-data:23,crates/aether-ai-serving:2,crates/aether-admin:1,crates/aether-ai-formats:1,crates/aether-data-schema:1	testing_ci_build	subject_rule	KEEP_REBASE	保留业务回归意图，按迁移后文件与接口重写测试
niffler	f6db24102804afe627fca634a40ccaa2b5bd1ca7	2026-06-01T06:37:05+08:00	ryfineZ	1	no	delivery_operations	fix(ci): 补齐网关测试分组数据	6a5324d8ec51b898641b5fff5181cecb584b9cec	3	32	7	0	auth_security:2,data_storage:1	apps/aether-gateway:2,crates/aether-data:1	testing_ci_build	subject_rule	KEEP_REBASE	保留业务回归意图，按迁移后文件与接口重写测试
niffler	e517fdb20919be9488befda2d1946c1563e1993a	2026-06-01T07:01:11+08:00	ryfineZ	1	no	delivery_operations	fix(ci): 稳定流式错误明细测试	f6db24102804afe627fca634a40ccaa2b5bd1ca7	1	2	0	0	stream_execution:1	apps/aether-gateway:1	testing_ci_build	subject_rule	KEEP_REBASE	保留业务回归意图，按迁移后文件与接口重写测试
niffler	dbe8014a8bf057211a1ec74b7e75a944c2f9da31	2026-06-01T07:19:12+08:00	ryfineZ	1	no	delivery_operations	fix(ci): 稳定同步错误明细测试	e517fdb20919be9488befda2d1946c1563e1993a	1	73	43	0	tests:1	apps/aether-gateway:1	testing_ci_build	subject_rule	KEEP_REBASE	保留业务回归意图，按迁移后文件与接口重写测试
niffler	c2cbac10a43644001cb02e45728c5f34cfc1c35a	2026-06-01T07:36:09+08:00	ryfineZ	1	no	delivery_operations	fix(ci): 等待测试状态写入完成	dbe8014a8bf057211a1ec74b7e75a944c2f9da31	1	5	1	0	runtime_performance:1	apps/aether-gateway:1	testing_ci_build	subject_rule	KEEP_REBASE	保留业务回归意图，按迁移后文件与接口重写测试
niffler	95095a0a77859b5928376e24925f8a1bf43157ef	2026-06-01T07:53:25+08:00	ryfineZ	1	no	delivery_operations	fix(ci): 满足提供商写入架构检查	c2cbac10a43644001cb02e45728c5f34cfc1c35a	2	4	2	0	provider_protocol:2	apps/aether-gateway:2	testing_ci_build	subject_rule	KEEP_REBASE	保留业务回归意图，按迁移后文件与接口重写测试
niffler	9936aaf08b1970e6317d31d3a58814a5d112e656	2026-06-01T08:18:10+08:00	ryfineZ	1	no	provider_protocol	fix(ci): 稳定 Gemini 同步状态测试	95095a0a77859b5928376e24925f8a1bf43157ef	2	52	19	0	provider_protocol:2	apps/aether-gateway:2	testing_ci_build	subject_rule	KEEP_REBASE	保留业务回归意图，按迁移后文件与接口重写测试
niffler	f42db6dbb6ad4e623078f806eb10faa8e2e6a517	2026-06-01T08:35:51+08:00	ryfineZ	1	no	delivery_operations	fix(ci): 稳定流式服务状态测试	9936aaf08b1970e6317d31d3a58814a5d112e656	1	60	21	0	tests:1	apps/aether-gateway:1	testing_ci_build	subject_rule	KEEP_REBASE	保留业务回归意图，按迁移后文件与接口重写测试
niffler	3b570c1800884f194a18852ca15d7bc93de17268	2026-06-01T08:59:06+08:00	ryfineZ	1	no	delivery_operations	fix(ci): 稳定流式 CLI 状态测试	f42db6dbb6ad4e623078f806eb10faa8e2e6a517	6	137	61	0	tests:3,provider_protocol:3	apps/aether-gateway:6	testing_ci_build	subject_rule	KEEP_REBASE	保留业务回归意图，按迁移后文件与接口重写测试
niffler	2038dc4d1e2949b9ca95c3b24fb637515a3cad9c	2026-06-01T09:19:58+08:00	ryfineZ	1	no	delivery_operations	fix(ci): 保持请求记录架构检查稳定	3b570c1800884f194a18852ca15d7bc93de17268	1	3	2	0	runtime_performance:1	apps/aether-gateway:1	testing_ci_build	subject_rule	KEEP_REBASE	保留业务回归意图，按迁移后文件与接口重写测试
niffler	2be730e2cc6ec5ff85124ffcff9ce8049483e327	2026-06-01T09:38:20+08:00	ryfineZ	1	no	delivery_operations	fix(ci): 稳定同步 Chat 状态测试	2038dc4d1e2949b9ca95c3b24fb637515a3cad9c	2	98	47	0	tests:2	apps/aether-gateway:2	testing_ci_build	subject_rule	KEEP_REBASE	保留业务回归意图，按迁移后文件与接口重写测试
niffler	41851b48b18ded6a176b52cca880094c8013b36d	2026-06-01T10:14:24+08:00	ryfineZ	1	no	other	fix(import): 保留用户密钥分组	2be730e2cc6ec5ff85124ffcff9ce8049483e327	5	96	3	0	gateway_other:2,tests:2,billing_wallet:1	apps/aether-gateway:4,docs:1	provider_oauth_import	subject_rule	KEEP_REBASE	保留外部格式兼容，转换到上游最新凭证契约
niffler	4b405e6a79794c74e4db0558c6c5a01d78e9b77b	2026-06-01T10:35:17+08:00	ryfineZ	1	no	delivery_operations	fix(ci): 稳定嵌入格式权限测试	41851b48b18ded6a176b52cca880094c8013b36d	1	2	0	0	tests:1	apps/aether-gateway:1	testing_ci_build	subject_rule	KEEP_REBASE	保留业务回归意图，按迁移后文件与接口重写测试
niffler	8137af96ec3d4c317af7e49ea44328fceae66b93	2026-06-01T11:02:31+08:00	ryfineZ	1	no	delivery_operations	fix(ci): 稳定格式权限测试	4b405e6a79794c74e4db0558c6c5a01d78e9b77b	2	4	0	0	tests:2	apps/aether-gateway:2	testing_ci_build	subject_rule	KEEP_REBASE	保留业务回归意图，按迁移后文件与接口重写测试
niffler	d5e0fb379552c24bfeea9c7d1780b157ad713051	2026-06-01T11:20:49+08:00	ryfineZ	1	no	delivery_operations	fix(ci): 稳定流式决策测试	8137af96ec3d4c317af7e49ea44328fceae66b93	1	66	20	0	tests:1	apps/aether-gateway:1	testing_ci_build	subject_rule	KEEP_REBASE	保留业务回归意图，按迁移后文件与接口重写测试
niffler	51ca13e5e86e2fa509d5ad75f8b5b81b02c2104f	2026-06-01T11:56:27+08:00	ryfineZ	1	no	delivery_operations	fix(ci): 稳定同步请求测试	d5e0fb379552c24bfeea9c7d1780b157ad713051	7	197	102	0	provider_protocol:6,tests:1	apps/aether-gateway:7	testing_ci_build	subject_rule	KEEP_REBASE	保留业务回归意图，按迁移后文件与接口重写测试
niffler	a3bf02bf3e12b31101f40ef203606cfa61c09dbd	2026-06-01T12:15:44+08:00	ryfineZ	1	no	delivery_operations	fix(ci): 稳定提供商限制测试	51ca13e5e86e2fa509d5ad75f8b5b81b02c2104f	1	2	0	0	tests:1	apps/aether-gateway:1	testing_ci_build	subject_rule	KEEP_REBASE	保留业务回归意图，按迁移后文件与接口重写测试
niffler	886d93d2537b07c8b03e562db5ed6c021078c4a5	2026-06-01T12:48:52+08:00	ryfineZ	1	no	delivery_operations	fix(ci): 稳定本地用量记录测试	a3bf02bf3e12b31101f40ef203606cfa61c09dbd	1	2	12	0	usage_observability:1	apps/aether-gateway:1	testing_ci_build	subject_rule	KEEP_REBASE	保留业务回归意图，按迁移后文件与接口重写测试
niffler	9bce50c8617b5c351aa488ebdec1be9dbe935072	2026-06-01T16:54:26+08:00	ryfineZ	1	no	provider_protocol	feat(providers): 支持从上游导入模型	886d93d2537b07c8b03e562db5ed6c021078c4a5	3	85	12	0	provider_protocol:2,documentation:1	frontend/src/features:2,docs:1	provider_oauth_import	subject_rule	KEEP_REBASE	保留外部格式兼容，转换到上游最新凭证契约
niffler	6c59d922e4d0c06eed9bc499d3f4964d1393ccab	2026-06-01T22:08:48+08:00	ryfineZ	1	no	delivery_operations	feat(niffler): 完善扣费明细、图片工具和 CI	9bce50c8617b5c351aa488ebdec1be9dbe935072	44	1717	160	0	usage_observability:19,provider_protocol:5,data_storage:5,frontend_product:5,delivery_operations:3	crates/aether-data:13,frontend/src/features:11,crates/aether-ai-formats:4,docs:4,apps/aether-gateway:3	usage_accounting_observability	manual	KEEP_REBASE	保留业务口径，采用上游诊断、队列和端到端时间
niffler	927d60d6f74ba7d00e98448aaf77b53fc1f6433f	2026-06-01T22:25:14+08:00	ryfineZ	1	no	delivery_operations	chore(ci): 只构建发布用镜像文件	6c59d922e4d0c06eed9bc499d3f4964d1393ccab	4	15	74	0	delivery_operations:2,documentation:2	docs:2,.github:1,Dockerfile.app:1	release_deployment_operations	subject_rule	KEEP	Niffler 生产受保护发布和拓扑独立保留
niffler	8b18abf89df1ddb1bc8b244a71f79081ad3dbbd0	2026-06-02T02:50:55+08:00	ryfineZ	1	no	provider_protocol	feat(providers): 支持 Claude Code 兼容 API	927d60d6f74ba7d00e98448aaf77b53fc1f6433f	25	533	72	0	provider_protocol:10,auth_security:5,routing_scheduler:4,frontend_product:3,gateway_other:1	apps/aether-gateway:7,frontend/src/features:6,crates/aether-data:4,crates/aether-provider-transport:4,frontend/src/api:2	provider_oauth_import	subject_rule	KEEP_REBASE	保留外部格式兼容，转换到上游最新凭证契约
niffler	0e7c9b8a914b4e94fca138cd14af22bbf3a425d4	2026-06-02T20:31:54+08:00	ryfineZ	1	no	provider_protocol	fix(providers): 清理提供商切换时的旧模型	8b18abf89df1ddb1bc8b244a71f79081ad3dbbd0	2	392	30	0	provider_protocol:2	frontend/src/features:2	provider_pool_management	subject_rule	KEEP_REBASE	保留运营能力，迁入上游调度、缓存和批量接口
niffler	3e3927c1bb94904fe7c1a37ddc327cab12014cb2	2026-06-03T02:02:31+08:00	ryfineZ	1	no	usage_observability	fix(usage): 修正用量与计费统计口径	0e7c9b8a914b4e94fca138cd14af22bbf3a425d4	27	969	111	0	usage_observability:6,gateway_other:3,repository_other:3,runtime_performance:3,frontend_product:3	apps/aether-gateway:7,crates/aether-data:5,frontend/src/views:4,crates/aether-usage-runtime:3,crates/aether-ai-formats:2	billing_plans_wallet_payments	subject_rule	KEEP_REBASE	保留 Niffler 商业规则；以 8 月请求级准入和原子结算为基线
niffler	f0be6b1ceddec1b12f09735ac20a03c7ea414c03	2026-06-03T14:57:16+08:00	ryfineZ	1	no	provider_protocol	fix(providers): 修复 Codex 配额刷新覆盖 5H	3e3927c1bb94904fe7c1a37ddc327cab12014cb2	5	350	10	0	gateway_other:2,provider_protocol:2,auth_security:1	apps/aether-gateway:3,crates/aether-admin:1,docs:1	codex_responses_images	subject_rule	KEEP_REBASE	保留产品能力，与上游最终协议状态机做语义合并
niffler	400ebca0823ac2adcb66c7528a3659bae07882ea	2026-06-03T15:19:37+08:00	ryfineZ	1	no	provider_protocol	fix(providers): 忽略 Codex 全零配额窗口	f0be6b1ceddec1b12f09735ac20a03c7ea414c03	1	79	5	0	gateway_other:1	apps/aether-gateway:1	codex_responses_images	subject_rule	KEEP_REBASE	保留产品能力，与上游最终协议状态机做语义合并
niffler	bc49eba95e33ba77af0292472b5904d37edf19e9	2026-06-03T20:27:42+08:00	ryfineZ	1	no	provider_protocol	refactor(providers): 统一账号调度状态	400ebca0823ac2adcb66c7528a3659bae07882ea	53	1266	449	0	data_storage:13,provider_protocol:11,frontend_product:7,gateway_other:6,routing_scheduler:5	apps/aether-gateway:19,crates/aether-data:12,frontend/src/features:8,frontend/src/api:3,crates/aether-admin:2	provider_pool_management	subject_rule	KEEP_REBASE	保留运营能力，迁入上游调度、缓存和批量接口
niffler	3a5656ba4eda71189b37dcfa6f21f7f424f7c34d	2026-06-03T20:57:09+08:00	ryfineZ	1	no	provider_protocol	fix(providers): 显示全部账号状态标签	bc49eba95e33ba77af0292472b5904d37edf19e9	1	5	7	0	provider_protocol:1	apps/aether-gateway:1	provider_pool_management	subject_rule	KEEP_REBASE	保留运营能力，迁入上游调度、缓存和批量接口
niffler	033baf448a4c55997292293275e9597d96f98a08	2026-06-04T13:08:16+08:00	ryfineZ	1	no	other	fix(admin): 统一账号展示和使用记录回填	3a5656ba4eda71189b37dcfa6f21f7f424f7c34d	48	1203	194	0	usage_observability:15,provider_protocol:13,frontend_product:13,gateway_other:4,tests:1	apps/aether-gateway:17,frontend/src/features:15,frontend/src/api:7,frontend/src/views:4,billing_progress.md:1	provider_pool_management	subject_rule	KEEP_REBASE	保留运营能力，迁入上游调度、缓存和批量接口
niffler	8e1cfaf0233705515299ce778eb7fa35aec4913a	2026-06-04T17:42:01+08:00	ryfineZ	1	no	other	fix(core): 修复账号调度和同步权限问题	033baf448a4c55997292293275e9597d96f98a08	33	585	663	0	provider_protocol:11,frontend_product:7,gateway_other:5,usage_observability:2,tests:2	apps/aether-gateway:14,frontend/src/features:7,docs:3,frontend/src/views:3,crates/aether-admin:2	provider_pool_management	subject_rule	KEEP_REBASE	保留运营能力，迁入上游调度、缓存和批量接口
niffler	05f289b38cd82227dbd48e8c426329ef732bf0f1	2026-06-05T18:54:26+08:00	ryfineZ	1	no	other	fix(admin): 修复分组删除和额度展示	8e1cfaf0233705515299ce778eb7fa35aec4913a	14	742	32	0	auth_security:8,gateway_other:3,data_storage:2,tests:1	apps/aether-gateway:7,crates/aether-data:6,docs:1	admin_frontend_experience	subject_rule	KEEP_REBASE	在上游新版页面与分页接口上重放 Niffler 管理体验
niffler	672287c2c3804844986966184240e3f93028cb2b	2026-06-05T19:19:38+08:00	ryfineZ	1	no	usage_observability	fix(usage): 修复成功请求误显失败	05f289b38cd82227dbd48e8c426329ef732bf0f1	1	61	7	0	usage_observability:1	crates/aether-admin:1	usage_accounting_observability	subject_rule	KEEP_REBASE	保留业务口径，采用上游诊断、队列和端到端时间
niffler	a40e272b940b3354ec57f199b21bf29c4c936356	2026-06-06T04:49:04+08:00	ryfineZ	1	no	other	refactor(core): 建立 Niffler 核心影子模型	672287c2c3804844986966184240e3f93028cb2b	8	1962	0	0	data_storage:6,documentation:1,delivery_operations:1	crates/aether-data-contracts:3,crates/aether-data:3,docs:1,scripts:1	niffler_core_migration	subject_rule	KEEP_REBASE	保留权威读源和迁移证据；真实预占及误导入口为明确例外，应移除
niffler	e47141fe49be38fc67a4ca3759f3923117671d7f	2026-06-06T10:29:55+08:00	ryfineZ	1	no	frontend_product	feat(admin): add Niffler core readiness view	a40e272b940b3354ec57f199b21bf29c4c936356	13	1697	2	0	gateway_other:4,frontend_product:4,data_storage:3,tests:1,documentation:1	apps/aether-gateway:6,crates/aether-data-contracts:1,crates/aether-data:1,docs:1,frontend/src/api:1	niffler_core_migration	subject_rule	KEEP_REBASE	保留权威读源和迁移证据；真实预占及误导入口为明确例外，应移除
niffler	826967a2616e2bcc2c4bbe80ce5174ebb7f135a5	2026-06-06T15:52:44+08:00	ryfineZ	1	no	other	fix(admin): correct Niffler core readiness mapping	e47141fe49be38fc67a4ca3759f3923117671d7f	5	129	130	0	frontend_product:2,gateway_other:1,data_storage:1,documentation:1	apps/aether-gateway:1,crates/aether-data-contracts:1,docs:1,frontend/src/api:1,frontend/src/views:1	niffler_core_migration	subject_rule	KEEP_REBASE	保留权威读源和迁移证据；真实预占及误导入口为明确例外，应移除
niffler	e92058910850d7bb757e9e2093a8ba1cc55fa768	2026-06-06T17:32:15+08:00	ryfineZ	1	no	billing_wallet	fix(usage): finalize recovered pending settlements	826967a2616e2bcc2c4bbe80ce5174ebb7f135a5	8	141	34	0	usage_observability:6,data_storage:2	crates/aether-data:7,docs:1	usage_accounting_observability	subject_rule	KEEP_REBASE	保留业务口径，采用上游诊断、队列和端到端时间
niffler	c6ac945a5a8bd31ce5df7ccc2829423ac252985e	2026-06-07T16:05:21+08:00	ryfineZ	1	no	usage_observability	fix(usage): 完善生图路由和使用记录展示	e92058910850d7bb757e9e2093a8ba1cc55fa768	40	1473	322	0	routing_scheduler:14,usage_observability:11,provider_protocol:6,tests:4,gateway_other:3	apps/aether-gateway:26,frontend/src/features:6,crates/aether-ai-formats:4,docs:2,crates/aether-admin:1	codex_responses_images	subject_rule	KEEP_REBASE	保留产品能力，与上游最终协议状态机做语义合并
